setting,iteration,avg_loss_mean,avg_loss_sem
YOLOv4 default,1,4549.532064,57.65651404825375
YOLOv4 default,2,4549.849772333333,57.708408947754094
YOLOv4 default,3,4549.706706,57.66768522930996
YOLOv4 default,4,4550.305664,57.85816268417138
YOLOv4 default,5,4550.286621,57.82543136404281
YOLOv4 default,6,4550.278646,57.753976798737796
YOLOv4 default,7,4550.197265666667,57.77614532867014
YOLOv4 default,8,4550.362304666666,57.713280894252335
YOLOv4 default,9,4550.567871,57.73906345524965
YOLOv4 default,10,4550.967448,57.88966710732244
YOLOv4 default,11,4321.337890666667,42.08464495524454
YOLOv4 default,12,4114.885660666667,131.8491913573198
YOLOv4 default,13,3928.9600423333336,212.7390270856365
YOLOv4 default,14,3761.629476,285.4781527341483
YOLOv4 default,15,3611.008544666667,350.9390378759469
YOLOv4 default,16,3475.389567333333,409.7669640160765
YOLOv4 default,17,3353.581787333333,462.80992339719984
YOLOv4 default,18,3243.8050129999997,510.52219081900625
YOLOv4 default,19,3144.9311519999997,553.4863446623144
YOLOv4 default,20,3055.7478026666668,592.044475599911
YOLOv4 default,21,2895.2664389999995,527.0138829661922
YOLOv4 default,22,2750.7198893333334,469.06160617923916
YOLOv4 default,23,2620.776448666667,417.44203277568255
YOLOv4 default,24,2503.6761066666672,371.72425097896127
YOLOv4 default,25,2398.246622666667,331.17204001627385
YOLOv4 default,26,2303.2607423333334,295.49813856154964
YOLOv4 default,27,2217.676188333333,264.4123799008393
YOLOv4 default,28,2140.8363443333333,237.47731983399382
YOLOv4 default,29,2071.4908039999996,214.35903255330686
YOLOv4 default,30,2008.8677166666666,194.951880963842
YOLOv4 default,31,2073.4396970000003,99.26691406315862
YOLOv4 default,32,2130.979736333333,14.946675990918832
YOLOv4 default,33,2182.985595666667,64.7375524359962
YOLOv4 default,34,2229.079467666667,133.99167786044143
YOLOv4 default,35,2270.169840666667,196.08882507723956
YOLOv4 default,36,2306.9262696666665,252.15738503738373
YOLOv4 default,37,2339.2477619999995,302.39358114148814
YOLOv4 default,38,2368.112630333333,347.69039995243014
YOLOv4 default,39,2393.381225333333,388.0662393112111
YOLOv4 default,40,2415.2958983333333,424.1257319186157
YOLOv4 default,41,2496.2531736666665,402.5201879170394
YOLOv4 default,42,2568.167643333333,395.6403197835907
YOLOv4 default,43,2631.496012333333,400.13567264149754
YOLOv4 default,44,2687.309814333333,412.5270555875215
YOLOv4 default,45,2735.683187,429.30405767610915
YOLOv4 default,46,2777.3771973333332,448.330487319044
YOLOv4 default,47,2812.982951,467.97288393616185
YOLOv4 default,48,2842.7208659999997,487.1226754053871
YOLOv4 default,49,2867.010742,504.9892585789041
YOLOv4 default,50,2886.039713333333,521.4717153727225
YOLOv4 default,51,2877.8304033333334,400.5605238658402
YOLOv4 default,52,2867.7626953333333,292.091507156022
YOLOv4 default,53,2855.855143,195.07009492653475
YOLOv4 default,54,2842.132894,109.10862735739072
YOLOv4 default,55,2826.316406,36.915457737077425
YOLOv4 default,56,2808.189778666667,46.45932516751523
YOLOv4 default,57,2788.2982586666662,104.34984345405951
YOLOv4 default,58,2765.958089333333,157.4357503541267
YOLOv4 default,59,2741.635742,204.66437732730418
YOLOv4 default,60,2714.8339843333333,246.0038049668774
YOLOv4 default,61,2578.4234213333334,209.03451004266645
YOLOv4 default,62,2452.853353,176.93918114872017
YOLOv4 default,63,2336.9083659999997,149.52815027507592
YOLOv4 default,64,2229.3273926666666,126.65475810907715
YOLOv4 default,65,2129.5855306666667,108.07507385326868
YOLOv4 default,66,2036.5769856666668,93.92352402242558
YOLOv4 default,67,1949.7858073333334,84.01639871932657
YOLOv4 default,68,1868.4016519999998,78.00337932033675
YOLOv4 default,69,1791.9005126666668,75.29841424128144
YOLOv4 default,70,1719.6802163333334,75.04612826387766
YOLOv4 default,71,1748.3585203333332,93.59619415931735
YOLOv4 default,72,1767.227620333333,119.75127623961835
YOLOv4 default,73,1777.48409,145.6762040877939
YOLOv4 default,74,1779.5879313333335,168.93141706037412
YOLOv4 default,75,1774.5719403333333,188.93823643120976
YOLOv4 default,76,1762.5762533333334,205.39607234388427
YOLOv4 default,77,1744.2181396666665,218.2404731188024
YOLOv4 default,78,1719.7185463333333,227.65986073845244
YOLOv4 default,79,1690.2640786666668,234.31416017895444
YOLOv4 default,80,1656.0661623333333,238.1702836061244
YOLOv4 default,81,1556.9660643333334,205.52834559010842
YOLOv4 default,82,1464.0668130000001,176.5799764597966
YOLOv4 default,83,1376.8926593333333,150.81515633400562
YOLOv4 default,84,1295.0206706666668,128.15152302282198
YOLOv4 default,85,1218.1840413333332,108.00988899508758
YOLOv4 default,86,1145.8093263333333,90.380969155214
YOLOv4 default,87,1077.5066733333333,75.11896423480054
YOLOv4 default,88,1013.2122193333333,61.847768887704454
YOLOv4 default,89,952.519104,50.67048409227341
YOLOv4 default,90,895.3403526666667,41.36204704856422
YOLOv4 default,91,862.21698,36.533870948932076
YOLOv4 default,92,828.3415526666666,34.25150770078098
YOLOv4 default,93,793.976725,33.75853565708408
YOLOv4 default,94,759.6815796666666,34.34657309740254
YOLOv4 default,95,725.2757566666666,35.349388170032924
YOLOv4 default,96,690.9676106666666,36.50044484522888
YOLOv4 default,97,657.168091,37.32566492932151
YOLOv4 default,98,623.8310956666666,37.996361647542145
YOLOv4 default,99,591.0429686666666,38.17414912351564
YOLOv4 default,100,559.1273293333333,38.04898255734749
YOLOv4 default,101,524.7225239999999,32.468109413735384
YOLOv4 default,102,491.57547999999997,27.88321683310969
YOLOv4 default,103,460.2644043333333,24.301949545337177
YOLOv4 default,104,430.42561866666665,21.340978028136423
YOLOv4 default,105,402.002299,19.07182679964696
YOLOv4 default,106,375.1453346666667,17.393575662437996
YOLOv4 default,107,349.63732899999997,16.231866980987647
YOLOv4 default,108,325.4455463333333,15.326002622814702
YOLOv4 default,109,302.8292236666667,14.689485714904453
YOLOv4 default,110,281.46224466666666,14.169855462592588
YOLOv4 default,111,260.8610586666667,11.57235949698217
YOLOv4 default,112,241.649663,9.430944203823623
YOLOv4 default,113,223.58810933333334,7.6658467229585945
YOLOv4 default,114,206.789505,6.339254406619309
YOLOv4 default,115,191.09037766666665,5.260513440111126
YOLOv4 default,116,176.532735,4.430383128874633
YOLOv4 default,117,163.01853966666667,3.8892737214599276
YOLOv4 default,118,150.3389283333333,3.5453321194290734
YOLOv4 default,119,138.60789466666668,3.406192537067176
YOLOv4 default,120,127.65810899999998,3.265543750955472
YOLOv4 default,121,117.01362366666667,3.3155807133869386
YOLOv4 default,122,107.234441,3.317776132601528
YOLOv4 default,123,98.22663366666666,3.3001787775194518
YOLOv4 default,124,89.96334333333333,3.2596534807313695
YOLOv4 default,125,82.332746,3.182352776857398
YOLOv4 default,126,75.34832766666666,3.0972294682968067
YOLOv4 default,127,68.96769966666666,2.9792495638323264
YOLOv4 default,128,63.111707,2.8459083964473155
YOLOv4 default,129,57.729513999999995,2.706680536017196
YOLOv4 default,130,52.77516566666666,2.56268113978221
YOLOv4 default,131,48.25914366666666,2.4389045433139533
YOLOv4 default,132,44.12311166666667,2.3245825319086384
YOLOv4 default,133,40.339267666666665,2.205302315388554
YOLOv4 default,134,36.87960433333333,2.0809401011947557
YOLOv4 default,135,33.72201533333333,1.9680115403876848
YOLOv4 default,136,30.832046000000002,1.8567786015630228
YOLOv4 default,137,28.18381066666667,1.7310819649724214
YOLOv4 default,138,25.769243666666668,1.5987868801192502
YOLOv4 default,139,23.552044,1.4964198175312744
YOLOv4 default,140,21.550691,1.4044975175218362
YOLOv4 default,141,19.815161333333336,1.1851340746600971
YOLOv4 default,142,18.233592,0.9882672360805727
YOLOv4 default,143,16.76917366666667,0.8366399151387912
YOLOv4 default,144,15.458621333333333,0.6890807430938544
YOLOv4 default,145,14.230885,0.572350226772909
YOLOv4 default,146,13.122694333333333,0.495391890029612
YOLOv4 default,147,12.089965999999999,0.4243723363855537
YOLOv4 default,148,11.143773000000001,0.3853993313594787
YOLOv4 default,149,10.274522333333334,0.3463445370250715
YOLOv4 default,150,9.469758333333333,0.30580175943266114
YOLOv4 default,151,8.679181,0.28316606042450326
YOLOv4 default,152,7.9539133333333325,0.25752778246002456
YOLOv4 default,153,7.313825666666666,0.2454236429050344
YOLOv4 default,154,6.699800333333333,0.229994834352378
YOLOv4 default,155,6.173083666666667,0.21910874194969443
YOLOv4 default,156,5.679926333333333,0.20641302453441374
YOLOv4 default,157,5.215115333333333,0.1919087151871373
YOLOv4 default,158,4.8049816666666665,0.15937615681601952
YOLOv4 default,159,4.450254999999999,0.14892740524497142
YOLOv4 default,160,4.099936333333333,0.14615465165060987
YOLOv4 default,161,3.831155666666667,0.1417063477834043
YOLOv4 default,162,3.604317,0.10674393972961652
YOLOv4 default,163,3.384755333333333,0.10723979541403669
YOLOv4 default,164,3.172838333333333,0.10107848023579395
YOLOv4 default,165,2.9787929999999996,0.10874445558740001
YOLOv4 default,166,2.807660333333333,0.11345338437780415
YOLOv4 default,167,2.6504893333333333,0.10244631341558592
YOLOv4 default,168,2.5165156666666664,0.10523396569285248
YOLOv4 default,169,2.3890386666666665,0.08887229637581731
YOLOv4 default,170,2.2728563333333334,0.0929675305045321
YOLOv4 default,171,2.157187,0.08795234969762507
YOLOv4 default,172,2.0548223333333335,0.08036509069725355
YOLOv4 default,173,1.9474239999999998,0.07298292259837227
YOLOv4 default,174,1.84127,0.06409535959282331
YOLOv4 default,175,1.7537150000000004,0.05089553348772368
YOLOv4 default,176,1.6516823333333335,0.04865154893160593
YOLOv4 default,177,1.5840033333333334,0.050177003299431006
YOLOv4 default,178,1.5334143333333332,0.05309957496795787
YOLOv4 default,179,1.4589016666666665,0.07649184002304502
YOLOv4 default,180,1.4348866666666666,0.08986810287737124
YOLOv4 default,181,1.3845406666666669,0.09067749494101485
YOLOv4 default,182,1.3361363333333334,0.0858699473862137
YOLOv4 default,183,1.2994036666666666,0.0873533691590911
YOLOv4 default,184,1.2697333333333332,0.09109551157866003
YOLOv4 default,185,1.2331693333333333,0.0840178831407007
YOLOv4 default,186,1.254035,0.09566521306619243
YOLOv4 default,187,1.229804,0.09403264792613253
YOLOv4 default,188,1.2048723333333333,0.0970846918457167
YOLOv4 default,189,1.1862626666666667,0.1077872345338002
YOLOv4 default,190,1.1626953333333334,0.09912282752950728
YOLOv4 default,191,1.1341219999999999,0.07147720239582221
YOLOv4 default,192,1.1225660000000002,0.05220650358272744
YOLOv4 default,193,1.1176253333333332,0.048384961521576626
YOLOv4 default,194,1.0888263333333332,0.03737654166868718
YOLOv4 default,195,1.047537,0.04502030291250088
YOLOv4 default,196,1.0270766666666666,0.061077331567811984
YOLOv4 default,197,1.0210926666666669,0.06801829556409394
YOLOv4 default,198,1.005511,0.07587386925900996
YOLOv4 default,199,1.0115663333333333,0.09078197412910662
YOLOv4 default,200,0.9930036666666666,0.10781242463391891
YOLOv4 default,201,0.9752759999999999,0.10021911646154807
YOLOv4 default,202,0.9611110000000002,0.08212444281698358
YOLOv4 default,203,0.9508546666666665,0.07376613106372808
YOLOv4 default,204,0.9543933333333333,0.07173756754619193
YOLOv4 default,205,0.9182826666666667,0.07048513193653763
YOLOv4 default,206,0.8993703333333333,0.06404487774036093
YOLOv4 default,207,0.8937293333333334,0.0712533429165101
YOLOv4 default,208,0.8954853333333334,0.07478745364995686
YOLOv4 default,209,0.884383,0.06816506026795055
YOLOv4 default,210,0.879623,0.08855401989934354
YOLOv4 default,211,0.8828823333333333,0.09001671444854623
YOLOv4 default,212,0.8781249999999999,0.0684536410305057
YOLOv4 default,213,0.8791283333333332,0.0766593333529004
YOLOv4 default,214,0.9068356666666667,0.06912881768199935
YOLOv4 default,215,0.900156,0.07467786821631518
YOLOv4 default,216,0.9234706666666668,0.058476003324250694
YOLOv4 default,217,0.9144873333333333,0.049428066744625083
YOLOv4 default,218,0.9027706666666666,0.04647666055607311
YOLOv4 default,219,0.8967649999999999,0.04218623226045833
YOLOv4 default,220,0.8979503333333333,0.06195075947162481
YOLOv4 default,221,0.8996016666666667,0.05371198143596805
YOLOv4 default,222,0.922133,0.04961455856231448
YOLOv4 default,223,0.9189436666666667,0.043212505683475996
YOLOv4 default,224,0.924696,0.0392913029435268
YOLOv4 default,225,0.9288896666666666,0.03508521914963306
YOLOv4 default,226,0.9364666666666667,0.031028907604218205
YOLOv4 default,227,0.9374216666666667,0.034860678929769046
YOLOv4 default,228,0.9236523333333334,0.024158309387133144
YOLOv4 default,229,0.9340350000000001,0.04409097126396742
YOLOv4 default,230,0.914985,0.03709456877136239
YOLOv4 default,231,0.9093163333333334,0.03629638329243164
YOLOv4 default,232,0.8901943333333334,0.027429068536459243
YOLOv4 default,233,0.8991326666666667,0.017736883767386486
YOLOv4 default,234,0.9207603333333333,0.019277981683199576
YOLOv4 default,235,0.9304739999999999,0.02647236514430346
YOLOv4 default,236,0.900149,0.02051805329459889
YOLOv4 default,237,0.8811006666666668,0.019987269634555976
YOLOv4 default,238,0.8916873333333334,0.018616882036951787
YOLOv4 default,239,0.8747993333333334,0.009883422051316277
YOLOv4 default,240,0.8620206666666667,0.0061829420271511
YOLOv4 default,241,0.8883206666666666,0.01996322646211722
YOLOv4 default,242,0.8585596666666667,0.02410487755160306
YOLOv4 default,243,0.8477173333333333,0.03103476213502816
YOLOv4 default,244,0.8670553333333334,0.053677250380812606
YOLOv4 default,245,0.8442080000000001,0.06205839814508052
YOLOv4 default,246,0.8623966666666667,0.06967074439661013
YOLOv4 default,247,0.843049,0.07877469500416998
YOLOv4 default,248,0.825174,0.08204652102923074
YOLOv4 default,249,0.825859,0.08762772747823604
YOLOv4 default,250,0.8271663333333333,0.07673280843362315
YOLOv4 default,251,0.8434033333333334,0.08632602206622164
YOLOv4 default,252,0.835576,0.08313834806513778
YOLOv4 default,253,0.8640189999999999,0.07107565572683798
YOLOv4 default,254,0.8710863333333334,0.07954796683413377
YOLOv4 default,255,0.8775796666666666,0.06238130204458525
YOLOv4 default,256,0.8622036666666665,0.06033992623002156
YOLOv4 default,257,0.867892,0.06537975173043512
YOLOv4 default,258,0.9078223333333334,0.06513008926841041
YOLOv4 default,259,0.9083456666666666,0.05877488000932978
YOLOv4 default,260,0.9211516666666667,0.07333765335154314
YOLOv4 default,261,0.9250423333333334,0.06791375095990829
YOLOv4 default,262,0.9242910000000001,0.06823284397072521
YOLOv4 default,263,0.9111406666666667,0.06996873237938345
YOLOv4 default,264,0.9198863333333334,0.06356237207744148
YOLOv4 default,265,0.9245243333333333,0.055324037841711395
YOLOv4 default,266,0.8975576666666667,0.051082025362265256
YOLOv4 default,267,0.8907956666666667,0.0677498553069386
YOLOv4 default,268,0.887591,0.059635997688756215
YOLOv4 default,269,0.8690993333333333,0.043210476053588895
YOLOv4 default,270,0.9064916666666666,0.059911638185840894
YOLOv4 default,271,0.8985523333333333,0.08920457314198887
YOLOv4 default,272,0.9027903333333334,0.09100811662947679
YOLOv4 default,273,0.9024283333333333,0.06149256760599429
YOLOv4 default,274,0.8867526666666667,0.057231704122608286
YOLOv4 default,275,0.874667,0.05397633485148841
YOLOv4 default,276,0.8547596666666667,0.06151129083437536
YOLOv4 default,277,0.846631,0.05375673513461671
YOLOv4 default,278,0.8519363333333333,0.040716824112125655
YOLOv4 default,279,0.8603416666666667,0.052919149471413254
YOLOv4 default,280,0.8683776666666666,0.048648091823946325
YOLOv4 default,281,0.8566406666666667,0.02951671698847584
YOLOv4 default,282,0.8222133333333334,0.03125757698187398
YOLOv4 default,283,0.8303343333333334,0.024549970009033518
YOLOv4 default,284,0.8285526666666666,0.005955105214109239
YOLOv4 default,285,0.818496,0.015575707570872465
YOLOv4 default,286,0.8443743333333332,0.029558587530154053
YOLOv4 default,287,0.8665006666666667,0.022456916858237173
YOLOv4 default,288,0.871072,0.028377364623939264
YOLOv4 default,289,0.8754103333333334,0.03614804012360528
YOLOv4 default,290,0.8551663333333334,0.04145868389265524
YOLOv4 default,291,0.8713983333333334,0.04567358655478873
YOLOv4 default,292,0.8741733333333332,0.05839094396774592
YOLOv4 default,293,0.8759363333333333,0.057493934098399556
YOLOv4 default,294,0.8933450000000001,0.03515819591977569
YOLOv4 default,295,0.882784,0.040300733578931276
YOLOv4 default,296,0.8736573333333334,0.038766454202627865
YOLOv4 default,297,0.8783506666666666,0.03860782031891696
YOLOv4 default,298,0.8990990000000001,0.0215112268672276
YOLOv4 default,299,0.9087733333333333,0.032636183980020966
YOLOv4 default,300,0.8879453333333333,0.030656268012340383
YOLOv4 default,301,0.8666373333333333,0.039886622295089255
YOLOv4 default,302,0.884432,0.03201673141239334
YOLOv4 default,303,0.8916286666666666,0.013568527362163442
YOLOv4 default,304,0.8792923333333333,0.028978509222832332
YOLOv4 default,305,0.872022,0.038252065857066246
YOLOv4 default,306,0.8658736666666668,0.03292277921811045
YOLOv4 default,307,0.8530516666666667,0.03451329808606788
