model,augmentation,n_seeds,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_map50_mean,test_map50_std,test_map50_95_mean,test_map50_95_std,runtime_seconds_mean,runtime_seconds_std,best_weights_mb_mean,best_weights_mb_std,parameter_count_mean,parameter_count_std
yolo26n,yolo26n_no_aug,3,0.7154210936077388,0.10901041188384145,0.48183442340768495,0.0551013941311975,0.569561454134691,0.01378645051932441,0.5041099263257847,0.007957788801069553,0.35737659926784016,0.010458496275170003,1569.8535284201305,267.8144716722624,5.419304666666666,0.006203819898524879,2375226.0,0.0
yolo26n,yolo26n_yolov4_style,3,0.8228946307092263,0.012669256865599434,0.6656174662688447,0.024674958167355657,0.7356624329404179,0.01243867692145972,0.6921628180458402,0.027117893662476016,0.4801773035389387,0.023253017777403098,3217.542885462443,126.87301232229258,5.446334,0.0023980792313850366,2375226.0,0.0
yolov4,yolov4_default,3,0.6066666666666667,0.09018499505645786,0.51,0.010000000000000009,0.5533333333333333,0.04041451884327379,0.450392,0.03368505005191472,0.1969708,0.006974806217379797,32664.065394798916,6517.351232406221,256.03752,0.0,,
yolov4,yolov4_no_aug,3,0.6033333333333333,0.0850490054811538,0.42,0.017320508075688756,0.49666666666666665,0.037859388972001855,0.4170106666666667,0.02464838283403872,0.19685083333333334,0.010614531041140424,26581.70097009341,5512.519068049492,256.03752,0.0,,
