model,augmentation,class_id,class_name,n_seeds,ap50_mean,ap50_std,tp_mean,tp_std,fp_mean,fp_std,fn_mean,fn_std,gt_count_mean,gt_count_std,class_precision_mean,class_precision_std,class_recall_mean,class_recall_std,class_f1_mean,class_f1_std
yolo26n,yolo26n_no_aug,0,MILCO,3,0.5639760466564846,0.04338123736040701,35.0,1.0,4.666666666666667,1.5275252316519468,31.0,1.0,66.0,0.0,0.8826923076923077,0.03714078445351535,0.5303030303030303,0.015151515151515138,0.662533692722372,0.022181175861391858
yolo26n,yolo26n_no_aug,1,NOMBO,3,0.4442438059950848,0.05221129907349359,12.666666666666666,1.1547005383792515,1.0,1.0,13.333333333333334,1.1547005383792515,26.0,0.0,0.9301587301587302,0.07148146189966798,0.48717948717948717,0.04441155916843272,0.6381685922122379,0.04185429867407733
yolo26n,yolo26n_yolov4_style,0,MILCO,3,0.675086050320986,0.005727591889609017,43.333333333333336,1.5275252316519468,6.0,2.0,22.666666666666668,1.5275252316519468,66.0,0.0,0.8790821860659157,0.03755378605250513,0.6565656565656566,0.02314432169169614,0.7514768823893023,0.02402594660867635
yolo26n,yolo26n_yolov4_style,1,NOMBO,3,0.7092395857706945,0.05741063347862409,18.0,1.0,12.0,3.0,8.0,1.0,26.0,0.0,0.6042232277526395,0.04765187853681888,0.6923076923076923,0.038461538461538436,0.6433455433455434,0.010265127988758792
yolov4,yolov4_default,0,MILCO,3,0.5734333333333334,0.01657417670152375,36.666666666666664,2.516611478423583,15.333333333333334,3.511884584284246,29.333333333333332,2.516611478423583,66.0,0.0,0.7059179259512223,0.061790242265545074,0.5555555555555556,0.038130476945811884,0.6217379607210116,0.04784649946551891
yolov4,yolov4_default,1,NOMBO,3,0.3273666666666667,0.054653941608390266,10.333333333333334,2.0816659994661326,16.333333333333332,8.020806277010642,15.666666666666666,2.0816659994661326,26.0,0.0,0.4087301587301587,0.08445951053092367,0.39743589743589747,0.08006407690254357,0.39181885418444556,0.013845238739883125
yolov4,yolov4_no_aug,0,MILCO,3,0.4872666666666667,0.016671032761449826,29.333333333333332,0.5773502691896257,18.666666666666668,9.073771725877465,36.666666666666664,0.5773502691896257,66.0,0.0,0.6271034729681346,0.12229616849169851,0.4444444444444444,0.008747731351357958,0.5166150039426816,0.03652295093434724
yolov4,yolov4_no_aug,1,NOMBO,3,0.34676666666666667,0.06492844779704295,9.666666666666666,1.5275252316519468,7.666666666666667,0.5773502691896257,16.333333333333332,1.5275252316519468,26.0,0.0,0.5557275541795665,0.04848439555221619,0.3717948717948718,0.058750970448151786,0.44498584963701243,0.05671417881131934
