setting,n_runs,test_precision_mean,test_precision_sem,test_recall_mean,test_recall_sem,test_f1_mean,test_f1_sem,test_map50_mean,test_map50_sem,test_map50_95_mean,test_map50_95_sem,runtime_seconds_mean,runtime_seconds_sem,best_weights_mb_mean,best_weights_mb_sem
YOLOv4 default,3,0.6066666666666666,0.052068331172711015,0.51,0.005773502691896263,0.5533333333333333,0.023333333333333324,0.45039200000000007,0.01944807271513898,0.19697079999999992,0.004026906247149692,32664.065394798916,3762.7944884330714,256.03752,0.0
YOLOv4 no aug,3,0.6033333333333334,0.04910306620885411,0.42,0.00999999999999999,0.49666666666666665,0.021858128414340025,0.41701066666666664,0.014230750464321207,0.19685083333333334,0.006128302353924063,26581.70097009341,3182.654367851319,256.03752,0.0
YOLO26n no aug,3,0.7154210936077389,0.06293719064560784,0.481834423407685,0.031812804734370544,0.569561454134691,0.007959610918501404,0.5041099263257847,0.004594431506451696,0.35737659926784016,0.0060382156397881,1569.8535284201305,154.62275731285806,5.419304666666666,0.0035817770884172956
YOLO26n YOLOv4-style aug,3,0.8228946307092263,0.007314598861786348,0.6656174662688447,0.014246093740165547,0.7356624329404179,0.007181473468967556,0.6921628180458402,0.015656523205886175,0.4801773035389387,0.013425136073254832,3217.542885462443,73.25016781717429,5.446334,0.0013845316897782018
