setting,iteration,map50_mean,map50_sem
YOLOv4 default,1105,0.26616666666666666,0.027061924872000105
YOLOv4 default,1106,0.26616666666666666,0.027061924872000105
YOLOv4 default,1107,0.26616666666666666,0.027061924872000105
YOLOv4 default,1108,0.26616666666666666,0.027061924872000105
YOLOv4 default,1109,0.26616666666666666,0.027061924872000105
YOLOv4 default,1110,0.26616666666666666,0.027061924872000105
YOLOv4 default,1111,0.26616666666666666,0.027061924872000105
YOLOv4 default,1112,0.26616666666666666,0.027061924872000105
YOLOv4 default,1113,0.26616666666666666,0.027061924872000105
YOLOv4 default,1114,0.26616666666666666,0.027061924872000105
YOLOv4 default,1115,0.26616666666666666,0.027061924872000105
YOLOv4 default,1116,0.26616666666666666,0.027061924872000105
YOLOv4 default,1117,0.26616666666666666,0.027061924872000105
YOLOv4 default,1118,0.26616666666666666,0.027061924872000105
YOLOv4 default,1119,0.26616666666666666,0.027061924872000105
YOLOv4 default,1120,0.26616666666666666,0.027061924872000105
YOLOv4 default,1121,0.26616666666666666,0.027061924872000105
YOLOv4 default,1122,0.26616666666666666,0.027061924872000105
YOLOv4 default,1123,0.26616666666666666,0.027061924872000105
YOLOv4 default,1124,0.26616666666666666,0.027061924872000105
YOLOv4 default,1125,0.26616666666666666,0.027061924872000105
YOLOv4 default,1126,0.26616666666666666,0.027061924872000105
YOLOv4 default,1127,0.26616666666666666,0.027061924872000105
YOLOv4 default,1128,0.26616666666666666,0.027061924872000105
YOLOv4 default,1129,0.26616666666666666,0.027061924872000105
YOLOv4 default,1130,0.26616666666666666,0.027061924872000105
YOLOv4 default,1131,0.26616666666666666,0.027061924872000105
YOLOv4 default,1132,0.26616666666666666,0.027061924872000105
YOLOv4 default,1133,0.26616666666666666,0.027061924872000105
YOLOv4 default,1134,0.26616666666666666,0.027061924872000105
YOLOv4 default,1135,0.26616666666666666,0.027061924872000105
YOLOv4 default,1136,0.26616666666666666,0.027061924872000105
YOLOv4 default,1137,0.26616666666666666,0.027061924872000105
YOLOv4 default,1138,0.26616666666666666,0.027061924872000105
YOLOv4 default,1139,0.26616666666666666,0.027061924872000105
YOLOv4 default,1140,0.26616666666666666,0.027061924872000105
YOLOv4 default,1141,0.26616666666666666,0.027061924872000105
YOLOv4 default,1142,0.26616666666666666,0.027061924872000105
YOLOv4 default,1143,0.26616666666666666,0.027061924872000105
YOLOv4 default,1144,0.26616666666666666,0.027061924872000105
YOLOv4 default,1145,0.26616666666666666,0.027061924872000105
YOLOv4 default,1146,0.26616666666666666,0.027061924872000105
YOLOv4 default,1147,0.26616666666666666,0.027061924872000105
YOLOv4 default,1148,0.26616666666666666,0.027061924872000105
YOLOv4 default,1149,0.26616666666666666,0.027061924872000105
YOLOv4 default,1150,0.26616666666666666,0.027061924872000105
YOLOv4 default,1151,0.26616666666666666,0.027061924872000105
YOLOv4 default,1152,0.26616666666666666,0.027061924872000105
YOLOv4 default,1153,0.26616666666666666,0.027061924872000105
YOLOv4 default,1154,0.26616666666666666,0.027061924872000105
YOLOv4 default,1155,0.26616666666666666,0.027061924872000105
YOLOv4 default,1156,0.26616666666666666,0.027061924872000105
YOLOv4 default,1157,0.26616666666666666,0.027061924872000105
YOLOv4 default,1158,0.26616666666666666,0.027061924872000105
YOLOv4 default,1159,0.26616666666666666,0.027061924872000105
YOLOv4 default,1160,0.26616666666666666,0.027061924872000105
YOLOv4 default,1161,0.26616666666666666,0.027061924872000105
YOLOv4 default,1162,0.26616666666666666,0.027061924872000105
YOLOv4 default,1163,0.26616666666666666,0.027061924872000105
YOLOv4 default,1164,0.26616666666666666,0.027061924872000105
YOLOv4 default,1165,0.26616666666666666,0.027061924872000105
YOLOv4 default,1166,0.26616666666666666,0.027061924872000105
YOLOv4 default,1167,0.26616666666666666,0.027061924872000105
YOLOv4 default,1168,0.26616666666666666,0.027061924872000105
YOLOv4 default,1169,0.26616666666666666,0.027061924872000105
YOLOv4 default,1170,0.26616666666666666,0.027061924872000105
YOLOv4 default,1171,0.26616666666666666,0.027061924872000105
YOLOv4 default,1172,0.26616666666666666,0.027061924872000105
YOLOv4 default,1173,0.26616666666666666,0.027061924872000105
YOLOv4 default,1174,0.26616666666666666,0.027061924872000105
YOLOv4 default,1175,0.26616666666666666,0.027061924872000105
YOLOv4 default,1176,0.26616666666666666,0.027061924872000105
YOLOv4 default,1177,0.26616666666666666,0.027061924872000105
YOLOv4 default,1178,0.26616666666666666,0.027061924872000105
YOLOv4 default,1179,0.26616666666666666,0.027061924872000105
YOLOv4 default,1180,0.26616666666666666,0.027061924872000105
YOLOv4 default,1181,0.26616666666666666,0.027061924872000105
YOLOv4 default,1182,0.26616666666666666,0.027061924872000105
YOLOv4 default,1183,0.26616666666666666,0.027061924872000105
YOLOv4 default,1184,0.26616666666666666,0.027061924872000105
YOLOv4 default,1185,0.26616666666666666,0.027061924872000105
YOLOv4 default,1186,0.26616666666666666,0.027061924872000105
YOLOv4 default,1187,0.26616666666666666,0.027061924872000105
YOLOv4 default,1188,0.26616666666666666,0.027061924872000105
YOLOv4 default,1189,0.26616666666666666,0.027061924872000105
YOLOv4 default,1190,0.26616666666666666,0.027061924872000105
YOLOv4 default,1191,0.26616666666666666,0.027061924872000105
