setting,class_name,ap50_mean,ap50_sem
YOLOv4 default,MILCO,0.5734333333333334,0.00956910538022116
YOLOv4 default,NOMBO,0.32736666666666664,0.03155446789987821
YOLOv4 no aug,MILCO,0.4872666666666667,0.009625025252492125
YOLOv4 no aug,NOMBO,0.3467666666666666,0.0374864568136873
YOLO26n no aug,MILCO,0.5639760466564846,0.02504616906781004
YOLO26n no aug,NOMBO,0.4442438059950848,0.030144207574821568
YOLO26n YOLOv4-style aug,MILCO,0.6750860503209859,0.0033068267192740836
YOLO26n YOLOv4-style aug,NOMBO,0.7092395857706945,0.03314604469323056
